연번,호선,station_name,층수,형식,지반고,레일면고,선로기준정거장깊이,정거장깊이,비고,위도,경도,station_depth,underground_floors,is_island_platform,is_side_platform,is_transfer_station,line_1to4,line_5to8,risk_area_count_500m,risk_area_count_1km,nearest_risk_distance,risk_weighted_score_500m,construction_count_500m,ongoing_construction_500m,total_construction_amount_500m,avg_construction_amount_500m,subway_related_construction_500m,large_construction_500m,construction_density_500m,water_building_count_500m,total_water_output_500m,total_waste_output_500m,avg_water_output_500m,large_water_buildings_500m,max_water_output_500m,water_building_density_500m,road_construction_count_500m,ongoing_road_construction_500m,subway_related_road_500m,communication_infra_500m,water_sewer_construction_500m,major_road_construction_500m,avg_construction_duration_500m,long_term_construction_500m,road_construction_density_500m,comprehensive_risk_score,underground_activity_density,ground_disturbance_index,infrastructure_density,risk_level,underground_risk_score_norm,subway_risk_score_norm,construction_risk_score_norm,water_output_risk_score_norm,station_risk_score
22,2,건대입구,고가,상대식,111.44,125.0,-13.56,-14.66,7호선환승,37.540408,127.069231,-13.560000000000002,1.0,0,1,1,1,0,0.0,0,2832.195172589782,0.0,6,0.0909090909090909,0.0,0.0,0.0,0.0,7.639437268410976,0.1787564766839378,0.1488819471790313,2853.69,90.46608695652174,22,350.0,87.85352858672623,0.0,0.0,79,177,0.0,237,405.6155913978495,0.0,678.6366773438417,81.448432,603,472.5,267,Medium,0.0,0.0444444444444444,0.0181818181818181,0.109212807954323,0.2690613469830789
23,2,구의,고가,상대식,119.48,132.98,-13.5,-14.6,,37.536857,127.085024,-13.499999999999986,1.0,0,1,0,1,0,0.0,0,4271.264002777627,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1632124352331606,0.0653153308936909,2315.66,43.46777777777778,0,100.0,80.21409131831525,0.0,0.0,79,177,0.0,237,405.6155913978495,0.0,678.6366773438417,80.49769400000001,596,472.5,267,Low,0.0,0.0111111111111111,0.0,0.0761759220422838,0.1711290950178203
24,2,강변,고가,상대식,107.33,125.28,-17.95,-19.05,,37.535161,127.094684,-17.950000000000003,1.0,0,1,0,1,0,0.0,0,5144.870109482874,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0569948186528497,0.0262606998703219,1101.03,50.04681818181818,0,83.0,28.01126998417358,0.0,0.0,79,177,0.0,237,405.6155913978495,0.0,678.6366773438417,80.17020600000001,555,472.5,267,Low,0.0,0.0111111111111111,0.0,0.0277518395077238,0.0649262776408877
25,2,잠실나루,고가,상대식,114.7,122.26,-7.56,-8.66,,37.520688,127.103836,-7.560000000000002,1.0,0,1,0,1,0,0.0,0,6393.064114212091,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1295336787564767,0.0455807499288642,1485.0,38.2212,0,87.51,63.66197723675813,0.0,0.0,79,177,0.0,237,405.6155913978495,0.0,678.6366773438417,80.332212,583,472.5,267,Low,0.0,0.0111111111111111,0.0,0.0583714762284469,0.13208070817611
26,2,잠실,B2,상대식,114.45,103.33,11.12,10.02,8호선환승,37.513305,127.100129,11.120000000000005,1.0,0,1,1,1,0,0.0,0,6358.835349100231,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2202072538860103,0.3427698344571541,4665.62,169.07388235294118,34,610.49,108.22536130248884,0.0,0.0,79,177,0.0,237,405.6155913978495,0.0,678.6366773438417,82.824256,618,472.5,267,Medium,0.0,0.0444444444444444,0.0,0.1876590294477214,0.4278161626481804
27,2,잠실새내,B2,상대식,114.71,103.91,10.8,9.7,,37.520731,127.103738,10.799999999999995,1.0,0,1,0,1,0,0.0,0,6383.218844706806,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0906735751295336,0.0332015881924043,1111.98,39.77257142857143,0,87.51,44.563384065730695,0.0,0.0,79,177,0.0,237,405.6155913978495,0.0,678.6366773438417,80.228408,568,472.5,267,Low,0.0,0.0111111111111111,0.0,0.0412917211073126,0.0946216997854403
28,2,종합운동장,B2,상대식,114.92,102.64,12.28,11.18,9호선환승,37.511008,127.073641,12.28,1.0,0,1,1,1,0,0.0,0,4295.404600894226,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0284974093264248,0.0020712234696046,86.34,7.8945454545454545,0,8.63,14.00563499208679,0.0,0.0,79,177,0.0,237,405.6155913978495,0.0,678.6366773438417,79.96736800000001,544,472.5,267,Low,0.0,0.0444444444444444,0.0,0.0101895442653431,0.0385933144641006
29,2,삼성,B2,섬식,118.07,104.7,13.37,12.27,,37.508827,127.063203,13.36999999999999,1.0,1,0,0,1,0,0.0,0,3671.734943485979,0.0,3,0.2727272727272727,3142.6,1047.5333333333333,0.0,1.0,3.819718634205488,0.2227979274611399,0.1586291477239796,6650.83,77.33523255813954,25,630.03,109.498600847224,0.0,0.0,79,177,0.0,237,405.6155913978495,0.0,678.6366773438417,82.03016600000001,622,476.5,267,Medium,0.0,0.0444444444444444,0.2545454545454545,0.1271423583950398,0.4811802542685214
30,2,선릉,B2,상대식,122.14,109.09,13.05,11.95,분당선환승,37.504257,127.048174,13.049999999999995,1.0,0,1,1,1,0,0.0,0,3225.974840835413,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0958549222797927,0.0091483011745916,382.96,10.366486486486489,0,30.66,47.10986315520102,0.0,0.0,79,177,0.0,237,405.6155913978495,0.0,678.6366773438417,80.026712,570,472.5,267,Low,0.0,0.0444444444444444,0.0,0.0350010744847948,0.0930095114226708
31,2,역삼,B3,상대식,143.03,125.29,17.74,16.64,,37.500658,127.03643,17.739999999999995,1.0,0,1,0,1,0,0.0,0,3292.34787092613,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2072538860103627,0.3830420605763696,16059.77,200.747125,6,4979.0,101.85916357881302,0.0,0.0,79,177,0.0,237,405.6155913978495,0.0,678.6366773438417,83.16195400000001,613,472.5,267,Medium,0.0,0.0111111111111111,0.0,0.1967653155289107,0.4356035602782636
32,2,강남,B2,상대식,118.77,105.71,13.06,11.96,신분당선환승,37.497958,127.027539,13.060000000000002,1.0,0,1,1,1,0,0.0,0,3576.8252717891305,0.0,5,0.2727272727272727,21.000000000000004,4.200000000000001,0.0,0.0,6.366197723675814,0.5673575129533679,0.4308402407904612,17597.0,82.48310502283104,7,4979.0,278.83946029700064,0.0,0.0,79,177,0.0,237,405.6155913978495,0.0,678.6366773438417,84.31276,755,472.5,267,Very High,0.0,0.0444444444444444,0.0545454545454545,0.3327325845812763,0.785864879123942
33,2,교대,B2,상대식,117.89,104.8,13.09,11.99,3호선환승,37.493957,127.014631,13.090000000000003,1.0,0,1,1,1,0,0.0,0,4268.699308272674,0.0,1,0.0,0.0,0.0,0.0,0.0,1.2732395447351628,0.3989637305699482,0.1315217362786811,5325.93,35.80714285714286,19,178.0,196.07888988921505,0.0,0.0,79,177,0.0,237,405.6155913978495,0.0,678.6366773438417,81.05286000000001,687,472.5,267,Medium,0.0,0.0444444444444444,0.0,0.1768284889495431,0.4040628181464939
34,2,서초,B2,상대식,131.03,115.64,15.39,14.29,,37.49191,127.007945,15.39,1.0,0,1,0,1,0,0.0,0,4710.488200791099,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2487046632124352,0.0479687150806009,1971.58,20.949791666666663,7,119.34,122.23099629457562,0.0,0.0,79,177,0.0,237,405.6155913978495,0.0,678.6366773438417,80.352236,629,472.5,267,Low,0.0,0.0111111111111111,0.0,0.0988911260976787,0.2209476675484023
